time,theta_deg
11.54486667,0.647963658
11.57823333,0.823006854
11.6116,0.973605657
11.64496667,1.073739904
11.67833333,1.122593015
11.7117,1.128682621
11.74506667,1.109936516
11.77843333,1.088520736
11.8118,1.096209187
11.84516667,1.156803496
11.87853333,1.28994676
11.9119,1.53337638
11.94526667,1.842878595
11.97863333,2.26529849
12.012,2.777927796
12.04536667,3.347203772
12.07873333,3.958656389
12.1121,4.599559535
12.14546667,5.147730606
12.17883333,5.637303677
12.2122,5.993549827
12.24556667,6.178559616
12.27893333,6.175569033
12.3123,5.997576376
12.34566667,5.641771974
12.37903333,5.166674323
12.4124,4.620524698
12.44576667,4.100670532
12.47913333,3.568850397
12.5125,3.138302561
12.54586667,2.80400941
12.57923333,2.584439642
12.6126,2.507951348
12.64596667,2.542663884
12.67933333,2.68791249
12.7127,2.90844031
12.74606667,3.18986946
12.77943333,3.499101254
12.8128,3.826661472
12.84616667,4.127890859
12.87953333,4.400632701
12.9129,4.623081051
12.94626667,4.767807368
12.97963333,4.840157486
13.013,4.834183388
13.04636667,4.763835079
13.07973333,4.661185533
13.1131,4.531776158
13.14646667,4.387172137
13.17983333,4.238381819
13.2132,4.077394444
13.24656667,3.895360035
13.27993333,3.717432944
13.3133,3.529380025
13.34666667,3.358338216
13.38003333,3.203351305
13.4134,3.086438635
13.44676667,3.02376285
13.48013333,3.01340112
13.5135,3.055487205
13.54686667,3.147624993
13.58023333,3.281123736
13.6136,3.442823742
13.64696667,3.632837841
13.68033333,3.842835393
13.7137,4.052393787
13.74706667,4.238395071
13.78043333,4.385549842
13.8138,4.468741188
13.84716667,4.495924959
13.88053333,4.484229467
13.9139,4.436542536
13.94726667,4.367041144
13.98063333,4.26571052
14.014,4.159125627
14.04736667,4.044512403
14.08073333,3.921674914
14.1141,3.786647713
14.14746667,3.666613809
14.18083333,3.557657991
14.2142,3.465881797
14.24756667,3.38020329
14.28093333,3.3103665
14.3143,3.274645292
14.34766667,3.281183365
14.38103333,3.335551032
14.4144,3.44088423
14.44776667,3.567432257
14.48113333,3.726645131
14.5145,3.899830899
14.54786667,4.086876589
14.58123333,4.261068968
14.6146,4.416710826
14.64796667,4.540509366
14.68133333,4.616226029
14.7147,4.649441505
14.74806667,4.619693392
14.78143333,4.532552405
14.8148,4.401285935
14.84816667,4.228072456
14.88153333,4.038119457
14.9149,3.848387649
14.94826667,3.66196865
14.98163333,3.491799762
15.015,3.356348925
15.04836667,3.243657145
15.08173333,3.170989426
15.1151,3.131540916
15.14846667,3.129319242
15.18183333,3.165339381
15.2152,3.238825277
15.24856667,3.342578893
15.28193333,3.457053158
15.3153,3.579007998
15.34866667,3.716481043
15.38203333,3.866375133
15.4154,4.004024079
15.44876667,4.125447947
15.48213333,4.23927543
15.5155,4.334406077
15.54886667,4.402502859
15.58223333,4.44091731
15.6156,4.429917689
15.64896667,4.362143696
15.68233333,4.240510379
15.7157,4.090250043
15.74906667,3.922536592
15.78243333,3.739789645
15.8158,3.560515795
15.84916667,3.388538151
15.88253333,3.24050248
15.9159,3.130032582
15.94926667,3.079039092
15.98263333,3.091108446
16.016,3.155962211
16.04936667,3.272358218
16.08273333,3.425801977
16.1161,3.609282014
16.14946667,3.784451464
16.18283333,3.95142662
16.2162,4.09383234
16.24956667,4.199562523
16.28293333,4.261545436
16.3163,4.277423784
16.34966667,4.262718621
16.38303333,4.228071971
16.4164,4.17780116
16.44976667,4.122491981
16.48313333,4.074013096
16.5165,4.032038519
16.54986667,3.988555994
16.58323333,3.928255299
16.6166,3.849910878
16.64996667,3.762725359
16.68333333,3.675534818
16.7167,3.59260098
16.75006667,3.521612778
16.78343333,3.471818958
16.8168,3.44412469
16.85016667,3.443958582
16.88353333,3.465121472
16.9169,3.522652332
16.95026667,3.605357809
16.98363333,3.704003105
17.017,3.806294235
17.05036667,3.910958591
17.08373333,3.992204767
17.1171,4.038549829
17.15046667,4.043906903
17.18383333,3.99574593
17.2172,3.921561665
17.25056667,3.832110788
17.28393333,3.762167542
17.3173,3.731164426
17.35066667,3.742090994
17.38403333,3.803602998
17.4174,3.891343115
17.45076667,3.977721131
17.48413333,4.051164137
17.5175,4.117664236
17.55086667,4.163089255
17.58423333,4.169185523
17.6176,4.122943134
17.65096667,4.04020548
17.68433333,3.930715259
17.7177,3.814642384
17.75106667,3.705656151
17.78443333,3.632061044
17.8178,3.590465489
17.85116667,3.583614631
17.88453333,3.612365746
17.9179,3.67532192
17.95126667,3.755646167
17.98463333,3.826301424
18.018,3.893753146
18.05136667,3.917271408
18.08473333,3.901439315
18.1181,3.855987484
18.15146667,3.80626951
18.18483333,3.760514578
18.2182,3.73438928
18.25156667,3.734037451
18.28493333,3.769930989
18.3183,3.834713246
18.35166667,3.923315497
18.38503333,4.006449885
18.4184,4.070089655
18.45176667,4.098502236
18.48513333,4.064414433
18.5185,3.996457334
18.55186667,3.911610967
18.58523333,3.838866351
18.6186,3.785658636
18.65196667,3.753363323
18.68533333,3.742589102
18.7187,3.735229231
18.75206667,3.73230663
18.78543333,3.72481251
18.8188,3.703512844
18.85216667,3.666975388
18.88553333,3.622653242
18.9189,3.566865901
18.95226667,3.510788986
18.98563333,3.478254768
19.019,3.485195667
19.05236667,3.533084911
19.08573333,3.615478894
19.1191,3.720012297
19.15246667,3.844509338
19.18583333,3.967313627
19.2192,4.081019614
19.25256667,4.173369597
19.28593333,4.227840181
19.3193,4.240755708
19.35266667,4.211944927
19.38603333,4.143281776
19.4194,4.056233597
19.45276667,3.96270992
19.48613333,3.863899884
19.5195,3.775070296
19.55286667,3.693581534
19.58623333,3.601551722
19.6196,3.493793502
19.65296667,3.382636509
19.68633333,3.283057162
19.7197,3.205555104
19.75306667,3.172933304
19.78643333,3.188552326
19.8198,3.260135481
19.85316667,3.378455687
19.88653333,3.545989783
19.9199,3.750747209
19.95326667,3.95404612
19.98663333,4.145572647
20.02,4.292014609
20.05336667,4.382188782
20.08673333,4.411332194
20.1201,4.375898134
20.15346667,4.290609103
20.18683333,4.16094701
20.2202,4.008933523
20.25356667,3.852164311
20.28693333,3.714671222
20.3203,3.590448282
20.35366667,3.493657237
20.38703333,3.437310001
20.4204,3.411042206
20.45376667,3.414714393
20.48713333,3.444599326
20.5205,3.485435138
20.55386667,3.529806802
20.58723333,3.578594638
20.6206,3.630932502
20.65396667,3.686741209
20.68733333,3.726625345
20.7207,3.752319469
20.75406667,3.769706797
20.78743333,3.787966849
20.8208,3.828850329
20.85416667,3.877564812
20.88753333,3.937282363
20.9209,3.994452663
20.95426667,4.048382899
20.98763333,4.085250883
21.021,4.097014596
21.05436667,4.109729444
21.08773333,4.101248249
21.1211,4.074248012
21.15446667,4.017068825
21.18783333,3.940616587
21.2212,3.849303079
21.25456667,3.753403167
21.28793333,3.63792555
21.3213,3.456805755
21.35466667,3.191509007
21.38803333,2.799709456
21.4214,2.2731304
21.45476667,1.620856603
21.48813333,0.801066354
21.5215,-0.108571007
21.55486667,-1.074479014
21.58823333,-1.998481606
21.6216,-2.904327983
21.65496667,-3.671493542
21.68833333,-4.252154186
21.7217,-4.627616712
21.75506667,-4.734336181
21.78843333,-4.548769729
21.8218,-4.101979127
21.85516667,-3.350894824
21.88853333,-2.460005372
21.9219,-1.300647198
21.95526667,-0.202892782
21.98863333,1.021722786
22.022,2.109688245
22.05536667,3.109701255
22.08873333,3.896011216
22.1221,4.456092517
22.15546667,4.775717964
22.18883333,4.781764862
22.2222,4.46926322
22.25556667,3.949508875
22.28893333,3.168826171
22.3223,2.275535237
22.35566667,1.251778217
22.38903333,0.166770155
22.4224,-0.856077245
22.45576667,-1.777628534
22.48913333,-2.577774392
22.5225,-3.215142404
22.55586667,-3.565707837
22.58923333,-3.727350933
22.6226,-3.650379283
22.65596667,-3.344137294
22.68933333,-2.907679432
22.7227,-2.287390389
22.75606667,-1.571184197
22.78943333,-0.87844228
22.8228,-0.117849464
22.85616667,0.547919013
22.88953333,1.170577632
22.9229,1.683671579
22.95626667,2.049016928
22.98963333,2.261777569
23.023,2.338547838
23.05636667,2.273035946
23.08973333,2.082340051
23.1231,1.801574551
23.15646667,1.417450271
23.18983333,1.010135172
23.2232,0.586041585
23.25656667,0.132729472
23.28993333,-0.258022048
23.3233,-0.614537485
23.35666667,-0.904272607
23.39003333,-1.093556144
23.4234,-1.211971083
23.45676667,-1.251726545
23.49013333,-1.221601168
23.5235,-1.129374216
23.55686667,-0.984892609
23.59023333,-0.805350648
23.6236,-0.601225521
23.65696667,-0.393765744
23.69033333,-0.187751014
23.7237,-0.005040696
23.75706667,0.141078061
23.79043333,0.252693231
23.8238,0.332388881
23.85716667,0.379631206
23.89053333,0.402958046
23.9239,0.403953019
23.95726667,0.392175738
23.99063333,0.369549795
24.024,0.340564154
24.05736667,0.305219193
24.09073333,0.272101729
24.1241,0.240716298
24.15746667,0.220352317
24.19083333,0.196656184
24.2242,0.171137352
24.25756667,0.141962179
24.29093333,0.100300214
24.3243,0.046827152
24.35766667,-0.013326693
24.39103333,-0.080494797
24.4244,-0.153514055
24.45776667,-0.228899724
24.49113333,-0.302691185
24.5245,-0.367870376
24.55786667,-0.425270988
24.59123333,-0.46583121
24.6246,-0.48612817
24.65796667,-0.481866574
24.69133333,-0.449267939
24.7247,-0.390078096
24.75806667,-0.305946287
24.79143333,-0.205399686
24.8248,-0.09229265
24.85816667,0.026667391
24.89153333,0.146992573
24.9249,0.265899104
24.95826667,0.365136651
24.99163333,0.444194647
25.025,0.500230131
25.05836667,0.521501764
25.09173333,0.50973596
25.1251,0.465146929
25.15846667,0.386091503
25.19183333,0.291722064
25.2252,0.180433681
25.25856667,0.055031833
25.29193333,-0.076978778
25.3253,-0.207873465
25.35866667,-0.320490381
25.39203333,-0.417825623
25.4254,-0.488720538
25.45876667,-0.527102824
25.49213333,-0.535433046
25.5255,-0.518877864
25.55886667,-0.469769559
25.59223333,-0.394803926
25.6256,-0.304599479
25.65896667,-0.198409107
25.69233333,-0.078918443
25.7257,0.032420577
25.75906667,0.138004948
25.79243333,0.225301374
25.8258,0.297919147
25.85916667,0.346873407
25.89253333,0.373081959
25.9259,0.379019491
25.95926667,0.360051946
25.99263333,0.319292219
26.026,0.263231048
26.05936667,0.194133553
26.09273333,0.112536006
26.1261,0.029572037
26.15946667,-0.054334916
26.19283333,-0.127099815
26.2262,-0.194906386
26.25956667,-0.247188243
26.29293333,-0.283030973
26.3263,-0.301210682
26.35966667,-0.305792486
26.39303333,-0.301132057
26.4264,-0.276497118
26.45976667,-0.238993574
26.49313333,-0.191507733
26.5265,-0.137630026
26.55986667,-0.08561512
26.59323333,-0.032597612
26.6266,0.020762355
26.65996667,0.064217994
26.69333333,0.099217448
26.7267,0.127732854
26.76006667,0.147965841
26.79343333,0.158649251
26.8268,0.16340945
26.86016667,0.152246589
26.89353333,0.132426785
26.9269,0.10730257
26.96026667,0.076053056
26.99363333,0.05008978
27.027,0.016901808
27.06036667,-0.016324635
27.09373333,-0.049058429
27.1271,-0.080098634
27.16046667,-0.10496836
27.19383333,-0.128296347
27.2272,-0.14729567
27.26056667,-0.162596712
27.29393333,-0.167971782
27.3273,-0.166155803
27.36066667,-0.157848264
27.39403333,-0.143045855
27.4274,-0.124829826
27.46076667,-0.10217436
27.49413333,-0.075454681
27.5275,-0.046269321
27.56086667,-0.013765037
27.59423333,0.012565133
27.6276,0.036889964
27.66096667,0.060520171
27.69433333,0.078293157
27.7277,0.093186318
27.76106667,0.103820287
27.79443333,0.104001254
27.8278,0.099959589
27.86116667,0.087900418
27.89453333,0.071655916
27.9279,0.046551604
27.96126667,0.01821609
27.99463333,-0.01332371
28.028,-0.041575119
28.06136667,-0.068862411
28.09473333,-0.097560781
28.1281,-0.118306588
28.16146667,-0.13436525
28.19483333,-0.144728442
28.2282,-0.147364787
28.26156667,-0.14477179
28.29493333,-0.133529674
28.3283,-0.115216749
28.36166667,-0.091841215
28.39503333,-0.066358162
28.4284,-0.036904713
28.46176667,-0.010978696
28.49513333,0.015330643
28.5285,0.039988579
28.56186667,0.055684658
28.59523333,0.06925223
28.6286,0.078118823
28.66196667,0.078741801
28.69533333,0.074528919
28.7287,0.059402135
28.76206667,0.043068718
28.79543333,0.024405697
28.8288,0.00637362
28.86216667,-0.017866337
28.89553333,-0.039688997
28.9289,-0.060273447
28.96226667,-0.076656184
28.99563333,-0.090462082
29.029,-0.101668692
29.06236667,-0.108892372
29.09573333,-0.109265919
29.1291,-0.102540073
29.16246667,-0.094294859
29.19583333,-0.080178363
29.2292,-0.068846428
29.26256667,-0.056259236
29.29593333,-0.035929547
29.3293,-0.016878058
29.36266667,-0.005105179
29.39603333,0.009067604
29.4294,0.017434334
29.46276667,0.028321057
29.49613333,0.036096533
29.5295,0.036723022
29.56286667,0.033522368
29.59623333,0.025798724
29.6296,0.020638104
29.66296667,0.014312738
29.69633333,0.002051471
29.7297,-0.011659183
29.76306667,-0.026957678
29.79643333,-0.035234248
29.8298,-0.047459136
29.86316667,-0.059127874
29.89653333,-0.064811478
29.9299,-0.076619756
29.96326667,-0.077332889
29.99663333,-0.078386715
30.03,-0.078548259
30.06336667,-0.071994879
30.09673333,-0.064822988
30.1301,-0.054230115
30.16346667,-0.044952212
30.19683333,-0.03249715
30.2302,-0.02146828
30.26356667,-0.010402118
30.29693333,-0.000164131
30.3303,0.005766743
30.36366667,0.010694603
30.39703333,0.015522084
30.4304,0.018609176
30.46376667,0.015495595
30.49713333,0.006603549
30.5305,-0.000829071
30.56386667,-0.008980369
30.59723333,-0.01685509
30.6306,-0.026257173
30.66396667,-0.035975909
30.69733333,-0.047048356
30.7307,-0.05310149
30.76406667,-0.057728688
30.79743333,-0.058777019
30.8308,-0.064104831
30.86416667,-0.06435515
30.89753333,-0.063230022
30.9309,-0.059978392
30.96426667,-0.052102159
30.99763333,-0.043764079
31.031,-0.038619543
31.06436667,-0.03519807
31.09773333,-0.026670222
31.1311,-0.017491529
31.16446667,-0.011841447
31.19783333,-0.006339854
31.2312,-0.004494596
31.26456667,-0.002428174
31.29793333,0.001271323
31.3313,0.002804615
31.36466667,-0.002119427
31.39803333,-0.006543514
31.4314,-0.012395622
31.46476667,-0.012381955
31.49813333,-0.015874234
31.5315,-0.024172509
31.56486667,-0.031641619
31.59823333,-0.041210091
31.6316,-0.042795607
31.66496667,-0.046555945
31.69833333,-0.050727741
31.7317,-0.053831756
31.76506667,-0.059312799
31.79843333,-0.055495305
31.8318,-0.051420337
31.86516667,-0.048977053
31.89853333,-0.045870717
31.9319,-0.042201992
31.96526667,-0.031418948
31.99863333,-0.022266872
32.032,-0.021700744
32.06536667,-0.013389668
32.09873333,-0.010457742
32.1321,-0.005551437
32.16546667,-0.005322376
32.19883333,-0.005900856
32.2322,-0.006493585
32.26556667,-0.011399792
32.29893333,-0.017146026
32.3323,-0.020340408
32.36566667,-0.027586375
32.39903333,-0.034406322
32.4324,-0.04186493
32.46576667,-0.045267625
32.49913333,-0.046225973
32.5325,-0.049904396
32.56586667,-0.050126296
32.59923333,-0.048239383
32.6326,-0.047134392
32.66596667,-0.043504112
32.69933333,-0.042317016
32.7327,-0.037643709
32.76606667,-0.033259982
32.79943333,-0.028502911
32.8328,-0.0256406
32.86616667,-0.02326462
32.89953333,-0.021076027
32.9329,-0.018796982
32.96626667,-0.018317805
32.99963333,-0.016087711
33.033,-0.0166743
33.06636667,-0.018912479
